date,platform,campaign,sku,spend,impressions,clicks,orders,revenue,refund_amount,gross_profit
2026-04-01,Douyin,Live Room Boost,A1001,8800,224000,8960,168,50400,2016,24192
2026-04-01,Tmall,Search Brand,A1002,4200,76000,2736,72,28800,576,14688
2026-04-01,Xiaohongshu,Seeding,A1003,3600,118000,3540,45,18000,720,6480
2026-04-02,Douyin,Live Room Boost,A1001,9600,238000,10115,189,56700,2268,27216
2026-04-02,Tmall,Search Category,C3001,3100,82000,2214,93,18600,372,6696
2026-04-02,JD,Performance Max,B2002,5200,66000,1980,52,39000,1170,14391
2026-04-03,Douyin,Live Room Boost,A1003,12200,251000,8785,126,50400,3528,21168
2026-04-03,Tmall,Search Brand,A1002,4600,79000,2844,77,30800,924,15400
2026-04-03,Xiaohongshu,Seeding,A1003,4100,132000,4092,54,21600,864,7776
2026-04-04,Douyin,Live Room Boost,A1001,10400,266000,11305,214,64200,3210,30174
2026-04-04,Tmall,Search Category,C3001,3300,84000,2352,101,20200,606,7272
2026-04-04,JD,Performance Max,B2002,5400,69000,2139,55,41250,2063,13736
